英文,中文(DM),中文(github),中文(内部),日文
Generate a checkpoint at the current training lvel.,生成当前训练级别的模型(ckpt)权重进度,生成当前训练级别的模型权重进度(ckpt),生成当前训练级别的模型权重进度(ckpt),
Show grid in results for web,在网页的结果中显示宫格图（建议开启）,在网页的结果中显示宫格图（建议开启）,在网页的结果中显示宫格图（建议开启）,WebUI上でグリッド表示
wd-v1-4-convnext-tagger,,,,wd-v1-4-convnext-tagger
Metadata,元数据,,,
mediums,,,,メディウム(構成要素)
Interpolation,,插值,插值,補間
Put variable parts at start of prompt,把可变部分放在提示词文本的开头,把可变部分放在提示词文本的开头,把可变部分放在提示词文本的开头,プロンプトの変化する部分を先頭に配置する
json path,json 文件路径,,,jsonのパス
Search string,,搜字串,搜字串,
https://github.com/yfszzx/stable-diffusion-webui-inspiration.git,,,,https://github.com/yfszzx/stable-diffusion-webui-inspiration.git
Message,信息,,,
Append,在结尾附加反推结果,,,追加
n_batch,,批次,批次,
pinpoint element,受另一个轴控制的 元素,,,
Send this image to ControlNet.,>> ControlNet,将此图像发送到 ControlNet,将此图像发送到 ControlNet,この画像を ControlNet に送信します。
Edit Openpose,编辑动作（需要至少准备 4 个 ControlNet 用于接收生成的图像）,,,
Hough Resolution,霍夫分辨率（Hough Resolution）,霍夫分辨率（Hough Resolution）,霍夫分辨率（Hough Resolution）,
Mask to find ? mask,,,,検索するマスク ? mask
ddetailer,检测细致化,检测细致化,检测细致化,
Cozy-Nest,Cozy-Nest 主题,,,
First frame as init image,,,,最初のフレームを初期画像として
Light Color,,,,照明の色
beta1,beta1,,,ベータ1
"Auto SAM is mainly for semantic segmentation and image layout generation, which is supported based on ControlNet. You must have ControlNet extension installed, and you should not change its directory name (sd-webui-controlnet).",Auto SAM主要用于语义分割和图像布局生成，基于 ControlNet 支持。使用前必须安装 ControlNet 插件且未更改其目录名（sd-webui-controlNet）,,Auto SAM功能用于通过语义分割来产生蒙版或者图层拆分，这需要ControlNet的支持。所以使用该功能需要安装 ControlNet插件，并且不要改变插件文件夹的名字 (sd-webui-controlnet),
mt,,,,mt
"Use following tags to define how filenames for images are chosen: [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]; leave empty for default.","使用以下标签定义如何选择图像的文件名： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空","使用以下标签定义如何选择图像的文件名： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空","使用以下标签定义如何选择图像的文件名： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空",
ControlNet v1.1.260,扩散控制网络(ControlNet),,,
"{% for colour in ['red', 'blue', 'green'] %}\n        {% prompt %}I love {{ colour }} roses{% endprompt %}\n    {% endfor %}","{% for colour in ['red', 'blue', 'green'] %}\n        {% prompt %}I love {{ colour }} roses{% endprompt %}\n    {% endfor %}",,,"{% for colour in ['red', 'blue', 'green'] %}\n        {% prompt %}I love {{ colour }} roses{% endprompt %}\n    {% endfor %}"
Output filename formats,输出文件名格式说明,输出文件名格式说明,输出文件名格式说明,出力ファイルフォーマット
Save EMA Weights to Generated Models,,,,EMA Weightを生成されたモデルに保存
Detach grad from conditioning models,,,,条件付きモデルから勾配を切り離す
overlay,,,,オーバーレイ
Config file for Control Net models,扩散控制网络模型(ControlNet models)的配置文件,ControlNet 模型的配置文件,ControlNet 模型的配置文件,ControlNetモデルの設定ファイル
stable-diffusion-webui-depthmap-script,,,,stable-diffusion-webui-depthmap-script
sd-dynamic-prompts,动态提示词,动态提示词,动态提示词,sd-dynamic-prompts
txt,,,,txt
LoRA,,,,LoRA
ControlNet Segmentation Index,接收图像的 ControlNet 控制单元编号,,目标ControlNet单元编号,
Interrogate: use artists from artists.csv,使用 artists.csv 中的艺术家,反推：使用 artists.csv 中的艺术家,反推：使用 artists.csv 中的艺术家,
Use low VRAM mode? ? save_memory,,,,低VRAMモードを使用しますか？→ メモリを節約
Do not append detectmap to output,不输出探测模式图(detected maps)（如深度估算图、动作检测图等）,不输出探测模式图(detected maps)（如深度估算图、动作检测图等）,不输出探测模式图(detected maps)（如深度估算图、动作检测图等）,検出されたマップを出力に追加しない
Remove All,,移除所有,移除所有,すべて削除
"In Keyframes tab, you can also set",,,,「キーフレーム」タブでも設定できます
"When adding to prompt, refer to Lora by",,,当添加到提示词时，引用,
tanhshrink,tanhshrink,,,tanhshrink
The beta1 parameter for the Adam optimizer.,Adam 优化器的 beta1 参数,Adam 优化器的 beta1 参数,Adam 优化器的 beta1 参数,
db-storage1111,,,,db-storage1111
Source Denoise,,,,ソースデノイズ：
ControlNet v1.1.280,扩散控制网络(ControlNet),,,
Show verbose debug info at console,在控制台中输出详尽的调试信息,在控制台中输出详尽的调试信息,在控制台中输出详尽的调试信息,
TEnc Weight 3,Text Encoder 权重 3,Text Encoder 权重 3,Text Encoder 权重 3,TEncの重み3
fill up,,,,上に拡張
filename keyword,搜索文件名关键字（按回车开始检索）,搜索文件名关键字（按回车开始检索）,搜索文件名关键字（按回车开始检索）,ファイル名 キーワード
Tag one image,单张图片,,,
Refresh data,刷新数据,刷新数据,刷新数据,
Zoom in/out,,,缩放,
Stable-Diffusion-Webui-Civitai-Helper,C站助手(Civitai Helper),C站助手(Civitai Helper),C站助手(Civitai Helper),
Whole picture,全图,全图,全图,画像全体
Blend factor max,,,,ブレンド係数の最大値
Batch Length As Row,,,,行のバッチ長
Render hands with Openpose? ? openpose_hands,,,,Openposeでハンドをレンダリングしますか？? openpose_hands
IN_A_10,,模型A 输入层10,模型A 输入层10,
Textbox,文本框,文本框,文本框,テキストボックス
"Build a yaml file with your chosen parameters, and generate infinite-dimensional grids. Built-in ability to add description text to fields. See readme for usage details.",,,,選択したパラメータでyamlファイルを構築し、無限次元グリッドを生成します。フィールドに説明テキストを追加する組み込み機能です。使用方法については、readmeを参照してください。
Lets you edit captions in training datasets.,让你可以在这里编辑训练数据集的描述文本,让你可以在这里编辑训练数据集的描述文本,让你可以在这里编辑训练数据集的描述文本,
cards,卡牌视图,卡牌视图（大预览图，竖图，占用页面空间非常大）,卡牌视图（大预览图，竖图，占用页面空间非常大）,カード
Restart Krita.,,,,Kritaを再起動します。
(in megapixels),,,（百万像素）,
Show extra options,显示额外设置,显示额外设置,显示额外设置,
settings,设置,,,
Is negative text,是负面提示词,是反向提示词,是反向提示词,ネガティブテキスト
mg,,,,mg
k_sigma,,,,k_sigma
Refresh models,刷新模型列表,刷新模型列表,刷新模型列表,モデルを更新
Save preview,,,,プレビューを保存
.txt (on Load and Save),,,,.txt (読み込みと保存時)
Join the official Deforum Discord discord.gg/deforum to share your creations and suggestions,,加入官方 Deforum 的 Discord discord.gg/deforum 分享您的创作和建议,加入官方 Deforum 的 Discord discord.gg/deforum 分享您的创作和建议,
Common Tags,共有 Tag,,,共通のタグ
if,,,,もし
XavierNormal,Xavier 正态,Xavier 正态,Xavier 正态,Xavier正規分布
Save PNGinfo to grid,将生成参数写入宫格图（可用图片信息直接识别宫格图）,将生成参数写入宫格图（可用图片信息直接识别宫格图）,将生成参数写入宫格图（可用图片信息直接识别宫格图）,
default = 0.01,,,,既定値 = 0.01
(Full = slow but pretty; Approx NN and TAESD = fast but low quality; Approx cheap = super fast but terrible otherwise),,,（Full = 预览质量好，但是慢；Approx NN和TAESD = 快速但质量低；Approx cheap = 超级快但预览效果糟糕）,
90 Degree Rotation,90度旋转,90度旋转,90度旋转,90度回転
seed_travel,种子变迁,种子变迁,种子变迁,seed_travel
"and restart webui, and enjoy the joy of creation!",,,,創作の喜びを満喫してください!
Inter Denoise FPD,,,,Inter Denoise FPD
Import favicons (svg),导入 网页图标（SVG格式）,导入 网页图标（SVG格式）,导入 网页图标（SVG格式）,
by,,,,作成者:
AdamW epsilon parameter,,,,AdamW epsilon パラメータ
XavierUniform,Xavier 均匀,Xavier 均匀,Xavier 均匀,Xavier一様分布
(0 = default (~14.6); maximum noise strength for k-diffusion noise schedule),,,（0 = 默认值（~14.6）；k-diffusion噪声调度器的最大噪声强度）,
tp__yandex,,,,tp__yandex
gpu,显卡,,,
Show Preview,显示预览,,,
Max Caption Length (0=unlimited),,,,キャプションの最大長(0=無制限)
Gradio theme,,,Gradio主题,
Convert Unet to ONNX,,,将Unet转换到ONNX,
folder and copy the folder location from the address bar.,,,,アドレスバーからフォルダの場所をコピーします。
Comma separated list. Specify ckpt OR ckpt:word,以逗号分割的列表。用以指定 ckpt 或 ckpt:字词,以逗号分割的列表。用以指定 ckpt 或 ckpt:字词,以逗号分割的列表。用以指定 ckpt 或 ckpt:字词,
by AUTOMATIC1111,,来自 AUTOMATIC1111,来自 AUTOMATIC1111,
Reset Tile Size,重设图块尺寸(Tile Size),重设图块尺寸(Tile Size),重设图块尺寸(Tile Size),タイルサイズをリセット。
Sort tags in the images displayed.,对当前显示图像的 Tag 进行排序,,,表示されている画像のタグを並べ替えます。
Search for hypernetworks,检索 超网络(Hypernetwork),搜索 超网络(Hypernetwork),搜索 超网络(Hypernetwork),Hypernetworksを検索
Run on incomplete,,不等到结束时才生成 (中途停止也会基于已有的结果生成动画),不等到结束时才生成 (中途停止也会基于已有的结果生成动画),
Background threshold,背景阈值,,背景阈值,後景しきい値
Enable checkpoint scheduling,,,,Checkpointのschedulingを有効化
Run DFI,,,,Run DFI
Tag range:,,,,タグレンジ
Class Prompt,类(Class)提示词,类(Class)提示词,类(Class)提示词,クラスプロンプト
prompt travel,提示词变迁,提示词变迁,提示词变迁,prompt travel
Composable LoRA with step,启用动态调度支持（允许 LoRA 使用 “[tag1:tag2:step]” 的动态调度语法）,,,
: Output extension (has no dot),：输出文件的后缀（不含 . ）,：输出文件的后缀（不含 . ）,：输出文件的后缀（不含 . ）,": 出力ファイルの拡張子 (""."" なし)"
Active in txt2img (Requires restart),在文生图页面启用（需要保存设置并重启）,在文生图页面启用（需要保存设置并重启）,在文生图页面启用（需要保存设置并重启）,txt2imgで有効 (再起動が必要)
Paths for saving,保存路径,保存路径,保存路径,保存するパス
Related to original file,与原文件相关的命名参数,与原文件相关的命名参数,与原文件相关的命名参数,オリジナルファイルに関連
"Torch active: Peak amount of VRAM used by Torch during generation, excluding cached data.\nTorch reserved: Peak amount of VRAM allocated by Torch, including all active and cached data.\nSys VRAM: Peak amount of VRAM allocation across all applications / total GPU VRAM (peak utilization%).",Torch active： 在生成过程中，Torch使用的显存(VRAM)峰值，不包括缓存的数据。\nTorch reserved： Torch 分配的显存(VRAM)的峰值量，包括所有活动和缓存数据。\nSys VRAM： 所有应用程序分配的显存(VRAM)的峰值量 / GPU 的总显存(VRAM)（峰值利用率%）,Torch active： 在生成过程中，Torch使用的显存(VRAM)峰值，不包括缓存的数据。\nTorch reserved： Torch 分配的显存(VRAM)的峰值量，包括所有活动和缓存数据。\nSys VRAM： 所有应用程序分配的显存(VRAM)的峰值量 / GPU 的总显存(VRAM)（峰值利用率%）,Torch active： 在生成过程中，Torch使用的显存(VRAM)峰值，不包括缓存的数据。\nTorch reserved： Torch 分配的显存(VRAM)的峰值量，包括所有活动和缓存数据。\nSys VRAM： 所有应用程序分配的显存(VRAM)的峰值量 / GPU 的总显存(VRAM)（峰值利用率%）,
R-ESRGAN 4x+ Anime6B,R-ESRGAN 4x+ Anime6B,,R-ESRGAN 4x+ Anime6B（新手动漫向首选）,R-ESRGAN 4x+ Anime6B
Use an,,,,を使う
haw,,,,haw
Create,创建,创建,创建,作成
Directly Draw Scribbles,直接绘制草图,,,
Run benchmark,开始基准评估,跑分,跑分,ベンチマークを実行
x4,,,,x4
Split over-sized images,分割过大的图像,分割过大的图像,分割过大的图像,
A tab with the full openOutpaint UI. Run with the --api flag.,,,,完全な openOutpaint UI を持つタブ。--api フラグを付けて実行します。
Model directory,模型目录,模型目录,模型目录,
Decoder Tile Size,解码器图块尺寸(Decoder Tile Size),解码器图块尺寸(Decoder Tile Size),解码器图块尺寸(Decoder Tile Size),デコーダーのタイルサイズ
tp__google,,,,tp__google
Append interrogated prompt at each iteration,,,,ループごとにInterrogateによるプロンプトを末尾に加える
Both,全部,全部,全部,両方
hidden_s_or_n,hidden_s_or_n,,,hidden_s_or_n
Batch from directory,批量操作,批量操作,批量操作,ディレクトリから一括処理
IN_B_08,,模型B 输入层08,模型B 输入层08,
"Passing ControlNet parameters with ""Send to img2img""",将图像发送至图生图时一并传递ControlNet设置,使用“发送到图生图”传递ControlNet参数,使用“发送到图生图”传递ControlNet参数,「img2imgに転送」でControlNetのパラメータを渡す
Yes,是,是,是,Yes
": Symlinks will break if you move or rename the repository or any\nof its parent folders or otherwise change the path such that the symlink\nbecomes invalid. In which case, repeat the above steps with the new",,,,: リポジトリまたはその親フォルダの移動や名前変更、シンボリックリンクが無効になるようなパスの変更をした場合に、シンボリックリンクが壊れてしまいます。対応したい場合は、新しいパスで上記の手順を再度実行してください。
cfg scale,提示词相关性(CFG Scale),提示词相关性(CFG Scale),提示词相关性(CFG Scale),CFGスケール
Backup/Restore,备份与恢复,,备份/还原,
M00,,中间层,中间层,
for: It's a for loop.,,,,for: forループです。
Interrogate,开始反推,开始反推,开始反推,インタロゲート
Found tags,高于最低置信度阈值的tag将会被摘录至此处,找到的标签(tags),找到的标签(tags),見つかったタグ
Segmentation status,执行状态,,分割处理状态,
Automatically remove backgrounds. Uses an onnx model fine-tuned for anime images. Runs on GPU.,,,,背景を自動で除去します。アニメ画像用に微調整されたonnxモデルを使用します。GPUで動作します。
word masks,,,,ワードマスク
CFG-Schedule-for-Automatic1111-SD,,,,CFG-Schedule-for-Automatic1111-SD
* change 'type' to clear/reload dropdowns.,改变坐标轴类型可清空、刷新选项,改变坐标轴类型可清空、刷新选项,改变坐标轴类型可清空、刷新选项,
Layers,,,,レイヤー
Tag count filter,,,,タグカウントフィルター
change X-Y,交换XY轴内容,,,
file not found: None,未检索到模型,未检索到模型,未检索到模型,
Z values,Z轴值,Z轴值,Z轴值,Z軸の値
Use online version,使用在线版本,,,
Controlnet input directory,,,Controlnet输入目录,
正體中文語言包,繁体中文语言包,,,
Selected Tags,已选择的 Tag,,,選択したタグのみ
"If you want to use Width/Height which are not multiples of 64, please change noise_type to 'Uniform', in Keyframes --> Noise.",,,,64の倍数ではない幅/高さを使用する場合は、Keyframes--> Noiseでnoise_typeを「Uniform」に変更してください。
no_NO Localization,,,,no_NO 翻訳
pre-depth background removal,,,,プレデプス背景除去
Maintenance,维护,维护,维护,メンテナンス
Copyright Tags,,版权标签(Tags),版权标签(Tags),
Strict Tokens,,,,厳密なトークン
right-to-left,,,,右から左へ
stable-diffusion-webui-blip2-captioner,,,,stable-diffusion-webui-blip2-captioner
"If you are using these templates, please let me know if they are useful.",如果你在用这些模板，请告诉我它们是否有用,如果你在用这些模板，请告诉我它们是否有用,如果你在用这些模板，请告诉我它们是否有用,これらのテンプレートを使っている方は、役に立っているかどうか教えてください。
If Empty,仅无注释时,,,空の場合
ControlNet v1.1.185,扩散控制网络(ControlNet),,,
Get Model Info from Civitai,从 Civitai 获取模型信息,从Civitai获取模型信息,从Civitai获取模型信息,
Apply changes to ALL displayed images,将更改应用于当前所有显示的图像,,,表示されているすべての画像に変更を適用
Generated frames folder,,,,生成したフレームフォルダ
G,,,,G
Model_A,模型A,模型A,模型A,
All models in this directory will receive the selected model's metadata,此目录下所有模型都将被粘贴与选中模型完全相同的元数据,此目录下所有模型都将被粘贴与选中模型完全相同的元数据,此目录下所有模型都将被粘贴与选中模型完全相同的元数据,このディレクトリ内のすべてのモデルは選択されたモデルのメタデータを受け取る
pndm,pndm,,,
Operation to perform at the end step ? str,,,,最後のステップで実行する操作 ? str
sd-webui-segment-anything,Segment Anything 蒙版绘制插件,,,
Always save all generated image grids,始终保存所有生成的宫格图,始终保存所有生成的宫格图,始终保存所有生成的宫格图,グリッド画像を常に保存する
stable-diffusion-webui-auto-translate-language,自动翻译插件,,,stable-diffusion-webui-auto-translate-language
Threshold B,阈值B（此值根据预处理器选项不同发生变化，滑动条不可用时代表此预处理器无该项设置）,阈值B（此值根据预处理器选项不同发生变化，滑动条不可用时代表此预处理器无该项设置）,阈值B（此值根据预处理器选项不同发生变化，滑动条不可用时代表此预处理器无该项设置）,しきい値 B
portrait-special,,,,肖像画-特別
Run preprocessor,,,开始预处理,
tp_sogou,,,,tp_sogou
"Cheap neural network approximation. Very fast compared to VAE, but produces pictures with 4 times smaller horizontal/vertical resolution and lower quality.",,,,簡易NNモデル：VAEと比べ高速だが、水平/垂直解像度が４倍小さく、画像品質が低い。
Train,训练,训练,训练,学習
Put weight sets. float number x 25,输入权重，共25个浮点数，逗号分隔,输入权重，共25个浮点数，逗号分隔,输入权重，共25个浮点数，逗号分隔,
Save Video Settings,,保存视频设置,保存视频设置,動画の設定を保存
x0_pred,,,,x0_pred
Show result images,显示输出图像,显示输出图像,显示输出图像,出力画像を表示
Copy,,,,コピー
gif,gif,,,
Image for GroundingDINO,需要使用 GroundingDINO 处理的图像,,GroundingDINO识别的结果,
URL for extension's git repository,扩展的 git 仓库网址,扩展的 git 仓库网址,扩展的 git 仓库网址,拡張機能のリポジトリのURL
Licenses,证书,许可协议,许可协议,ライセンス
img2img_steps,采样迭代步数(Steps),,,
Heun,Heun,,,Heun
>,>,,,
Training steps,训练迭代步数,训练迭代步数,训练迭代步数,
×,×,,,
Number of frames for lead in/out,渐入/渐出帧数,渐入/渐出帧数,渐入/渐出帧数,リードイン/アウトのフレーム数
openpose_faceonly,姿态检测（openpose 模型，OpenPose 算法，仅脸部）,,姿态检测（OpenPose 算法，仅脸部）,
darken,,,,比較 暗
"Uses a trained model file, produces WD 1.4 Tags. Model link - https://mega.nz/file/ptA2jSSB#G4INKHQG2x2pGAVQBn-yd_U5dMgevGF8YYM9CR_R1SY",使用经过训练的模型文件，生成 Waifu Diffusion 1.4 标签。模型链接 - https://mega.nz/file/ptA2jSSB#G4INKHQG2x2pGAVQBn-yd_U5dMgevGF8YYM9CR_R1SY,使用经过训练的模型文件，生成 Waifu Diffusion 1.4 标签。模型链接 - https://mega.nz/file/ptA2jSSB#G4INKHQG2x2pGAVQBn-yd_U5dMgevGF8YYM9CR_R1SY,使用经过训练的模型文件，生成 Waifu Diffusion 1.4 标签。模型链接 - https://mega.nz/file/ptA2jSSB#G4INKHQG2x2pGAVQBn-yd_U5dMgevGF8YYM9CR_R1SY,
Save JSON,储存为 JSON文件,储存为 JSON文件,储存为 JSON文件,JSONを保存
Leave empty for default main branch,留空默认安装主分支,,留空的话就使用默认分支,
Perlin W,,,,Perlin W
dog-black-white,,,,犬-白黒
Uses D-Adaptation(LR Free) AdamW. Recommended LR is 1.0 at base,,,,D-Adaptation(LR Free) AdamWを使用中。 baseではLR 1.0が推奨されています。
Enable Region 2,启用此区域,,启用区域 2,
ControlNet v1.1.146,扩散控制网络(ControlNet),,,
Prior Loss Weight,先验损失权重(Prior Loss Weight),先验损失权重(Prior Loss Weight),先验损失权重(Prior Loss Weight),正則化の損失の重み
Edit common tags.,编辑共有 Tag,,,共通のタグを編集
do: It's a do-until loop.,,,,do: do-untilループです。
Colorbgmask,Colorbgmask,,,
ControlNet v1.1.199,扩散控制网络(ControlNet),,,
Class prompt,类(Class)提示词,类(Class)提示词,类(Class)提示词,
(so they are used as literal brackets and not for emphasis),,,（这样它们就被用作字面意义上的括号，而不是用于强调）,
Preview image negative prompt,预览图负面提示词,预览图反向提示词,预览图反向提示词,
Made by,,,,作成者
Add Lora to prompt,将 LoRA 添加到提示词,将 LoRA 模型添加到提示词,将 LoRA 模型添加到提示词,プロンプトに LoRA を追加
Negative strength,,,,ネガティブの強度
training-picker,训练图挑选器,训练图挑选器,训练图挑选器,training-picker
"Please, change animation mode to 2D or 3D to enable Hybrid Mode",,,,ハイブリッドモードを有効にするにはアニメーションモードを2Dまたは3Dに変更してください
Save background instead of foreground,仅保存背景而非前景,,保存背景而不是前景,
Install,安装,安装,安装,インストール
Asymmetric Tiling,,,,Asymmetric Tiling
Scale to maximum width or height,,,,最大幅または高さに合わせる
Save as half,以 float16 保存,以 float16 保存,以 float16 保存,
prompt,,,,プロンプト
Model list will be output here,模型列表将会在此处输出,模型列表将会在此处输出,模型列表将会在此处输出,
Disable SAM functionality and upload manually created mask to ControlNet inpaint.,禁用 Segment Anything Model 功能并将手动创建的蒙版上传到 ControlNet 进行局部重绘,,禁用SAM所有功能手动上传蒙版到ControlNet,
Freeze CLIP Normalization Layers,,,,CLIP正規化レイヤーを固定
Modules,模块,模块,模块,モジュール
Checkbox,勾选框,勾选框,勾选框,チェックボックス
SD upscale,使用 SD 放大(SD upscale),使用 SD 放大(SD upscale),使用 SD 放大(SD upscale),SDアップスケール
Calculate training parameters for a human subject. Enables prior preservation.,计算训练人物主体需要的参数。并启用先验存留(prior preservation),计算训练人物主体需要的参数。并启用先验存留(prior preservation),计算训练人物主体需要的参数。并启用先验存留(prior preservation),
"performance is measured in iterations per second (it/s) and reported for different batch sizes (e.g. 1, 2, 4, 8, 16...)",性能以每秒迭代次数 (it/s) 衡量，并针对不同的批量大小（例如 1、2、4、8、16 ...）进行报告,,,
Retouch,修饰(Retouch),,,
https://github.com/ilian6806/stable-diffusion-webui-state.git,,,,https://github.com/ilian6806/stable-diffusion-webui-state.git
seg_ofcoco,语义分割（seg 模型，OneFormer 算法，COCO 协议）,,语义分割（seg，OneFormer 算法，COCO 协议）,
Half Cosine Down,半区间余弦递减(Half Cosine Down),,,
digipa-high-impact,,,,digipaハイインパクト
Location,,,,場所
Colorerrortexthover,Colorerrortexthover,,,
"Tile overlap, in pixels for SCUNET upscalers. Low values = visible seam.",,,使用SCUNET upscalers时Tile size间的重叠，此值较低的话可能会有明显接缝,
Use negative embedding (DreamArtist),使用负面 Embedding (梦作家),使用反向 Embedding (梦作家),使用反向 Embedding (梦作家),
ControlNet v1.1.281,扩散控制网络(ControlNet),,,
Path name modifier,,,,パス名の修飾子
HeunDiscrete,,,,HeunDiscrete
-75%,,,,-75%
(C5) Thertiary,,(C5) 第三,(C5) 第三,
Lora Model,,,,LoRA モデル
Adds customizable dynamic thresholding to allow high CFG Scale values without the burning / 'pop art' effect.,,,,カスタマイズ可能な動的閾値を追加することで、焼き込みやポップアート効果なしに高いCFG Scale値を可能にします。
BLIP: maximum description length,,,BLIP: 最大描述长度,
t2ia_sketch_pidi,草稿差分（t2iadapter_sketch 模型，PiDiNet 算法）,,t2ia自适应 - 草稿像素差分处理（sketch_pidi）,
Classify type,,,,分類の種別
stable-diffusion-webui-images-browser,图库浏览器,图库浏览器,图库浏览器,stable-diffusion-webui-images-browser
API Keys,,API 密钥,API 密钥,
Cutoff and Power,,,,カットオフとパワー
Settings > Manage Resources...,,,,設定 > リソースの管理
replace preview,用当前生成图片替换预览,用当前生成图片替换预览,用当前生成图片替换预览,プレビューを置換
Download system info,,,下载系统信息,
Highres. percentage chance,高清修复：随机概率,高清修复：随机概率,高清修复：随机概率,高解像度のパーセンテージ確率
casing: Converts the casing of content.,,,,casing: コンテンツの大文字と小文字を変換します。
Data directory,,,,データ保存用フォルダー
IN_B_00,,模型B 输入层00,模型B 输入层00,
[hash:sha1].[output_extension],,,,[hash:sha1].[output_extension]
"Convert models to fp16/bf16 no-ema/ema-only safetensors. Convert/copy/delete any parts of model: unet, text encoder(clip), vae.",,,,"モデルをfp16/bf16 no-ema/ema-only から選択し.safetensor形式に変換します。モデルのいずれかの部分を変換/コピー/削除します: unet, text encoder(clip), vae."
Interrogate Options,提示词反推,反推提示词（图生图页面）,反推提示词,Interrogate設定
Background Color,,,,背景色
Switch background color by clicking the Enable buttons in SD Web UI,,,,SD Web UIの「有効化」ボタンをクリックして背景色を切り替える
Subseed schedule,,,,サブシードのスケジュール
Preset Weights,预设权重,预设权重,预设权重,
This extension converts images into blocks and creates schematics for easy importing into Minecraft using the Litematica mod.,,,,この拡張機能は画像をブロックに変換し、Litematica modを使用してMinecraftに簡単にインポートできる回路図を作成します。
scale ratio,,,缩放比例,
LLuL Enabled,,,,LLuLを有効化
Use legacy weights ? legacy_weights,,,,過去の重み付けを使用する ? legacy_weights
Eta,Eta,,,Eta
Path to image file ? str,,,,画像ファイルへのパス <unk> str
Last message,,,最近的信息,前回のメッセージ
Invert colors if your image has white background.,"使用白色背景图片时请启用""反色模式""","使用白色背景图片时请启用""反色模式""","使用白色背景图片时请启用""反色模式""",白背景の場合、色を反転する
BS,,,,BS
Regions,分区,分区,分区,領域
Video frames,,,,Video frames
Write all generated prompts to a file,将所有生成的提示词写入文件,将所有生成的提示词写入文件,将所有生成的提示词写入文件,生成されたすべてのプロンプトをファイルに書き込む
Step count (grad mode),步数 (梯度模式),步数 (梯度模式),步数 (梯度模式),
File name to save setting as,,,,設定を保存するファイル名
or,或,或,或,
- Adjust brush size,,,- 调整画笔大小,
set,,,,set
ControlNet v1.1.2,扩散控制网络(ControlNet),,,
512x Model,,,,512x モデル
"weights,for beta, base beta,IN00,IN02,...IN11,M00,OUT00,...,OUT11",各层 β 权重,,,
Y values,Y轴值,Y轴值,Y轴值,Y軸の値
Aesthetic imgs embedding,美术风格图集 Embedding,美术风格图集 Embedding,美术风格图集 Embedding,美的埋め込みを使用する
Generated Caption,,,,生成されたキャプション
"Use following tags to define how subdirectories for images and grids are chosen: [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]; leave empty for default.","使用以下标签定义如何选择图像和宫格图的子目录： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空","使用以下标签定义如何选择图像和宫格图的子目录： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空","使用以下标签定义如何选择图像和宫格图的子目录： [steps], [cfg], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]。默认请留空",
Join the,,,,参加する
[ControlNet] Pre Threshold B,[ControlNet] 预处理器 阈值B,[ControlNet] 预处理器 阈值B,[ControlNet] 预处理器 阈值B,[ControlNet] 事前しきい値B
number of seed,随机种子(seed),,,
(M9) Multiplier,,(M9) 倍率,(M9) 倍率,
GroundingDINO + Segment Anything can achieve [text prompt]->[object detection]->[segmentation],GroundingDINO + Segment Anything 可以实现[文本提示]->[对象检测]->[分割]的过程,,GroundingDINO+分割万物可以实现[文本提示词]->[物体识别]->[分割蒙版]过程,
Diffusion Weights (training snapshots),,,,Diffusion ウェイト (トレーニング時のスナップショット)
ControlNet v1.1.128,扩散控制网络(ControlNet),,,
Enable Region 5,启用此区域,,启用区域 5,
LLuL Max steps,,,,LLuL最大ステップ
Move VAE to GPU (if possible),尽可能将 VAE运算 转移到GPU,,在GPU中加载VAE,
"A, B or C","A, B或C","A, B或C","A, B或C",A、BまたはC
7 units,,,启用了7个单元,
